ID_Venta,Fecha,Producto,Categoria,Precio,Cantidad,ID_Cliente,Region
1,2023-01-15,Laptop Gamer,electronica,1500.5,1,101,Norte
2,2023-01-16,Mouse Inalambrico,accesorios,25.0,2,102,desconocida
3,2023-01-17,Teclado Mecanico,accesorios,75.99,1,101,Norte
4,,"Monitor 24""",monitores,250.0,1,103,Sur
6,2023-01-20,Laptop Gamer,electronica,1500.5,1,101,Norte
7,2023-01-21,Silla Gamer,muebles,200.0,1,105,Oeste
8,2023-01-22,Webcam HD,accesorios,50.0,1,106,Norte
9,2023-01-23,Microfono,accesorios,60.0,1,107,Sur
10,2023-01-24,Tarjeta Grafica RTX 4090,componentes,1799.99,1,108,Este
11,,SSD 1TB,componentes,99.5,2,109,Norte
12,2023-01-26,Memoria RAM 16GB,componentes,55.0,2,110,Sur
13,2023-01-27,Fuente de Poder 750W,componentes,120.0,1,111,Centro
14,2023-01-28,Gabinete ATX,componentes,85.0,1,102,Oeste
15,2023-01-29,Procesador Ryzen 9,componentes,550.0,1,112,Este
16,2023-01-30,"Monitor Curvo 32""",monitores,450.0,1,113,Norte
17,2023-01-31,Auriculares Bluetooth,accesorios,65.0,1,114,Sur
18,2023-02-01,Disco Duro Externo 2TB,almacenamiento,70.0,1,115,Centro
19,,Alfombrilla XL,accesorios,20.0,3,101,Oeste
20,2023-02-03,Router WiFi 6,redes,110.0,1,116,desconocida
21,2023-02-04,Impresora Multifuncional,perifericos,180.0,1,117,Norte
22,2023-02-05,Hub USB-C,accesorios,35.0,1,118,Sur
23,2023-02-06,Filtro de Red,accesorios,15.0,1,119,Centro
24,2023-02-07,Bocinas 2.1,audio,90.0,1,120,Oeste
25,,Tarjeta Madre B550,componentes,150.0,1,121,Este
26,2023-02-09,Ventiladores RGB,componentes,40.0,4,122,Norte
27,2023-02-10,Pasta Termica,componentes,10.0,1,123,Sur
29,2023-02-12,"Monitor 27"" 4K",monitores,400.0,1,125,Oeste
30,2023-02-13,Teclado Inalambrico,accesorios,45.0,1,103,Este
31,2023-01-15,Laptop Gamer,electronica,1500.5,1,101,Norte
32,,Soporte para Monitor,accesorios,30.0,1,126,Norte
33,2023-02-15,Camara de Seguridad,seguridad,80.0,2,127,Sur
34,2023-02-16,Adaptador HDMI,accesorios,12.0,1,128,Centro
35,2023-02-17,Mesa de Escritorio,muebles,150.0,1,105,Oeste
36,2023-02-18,Cable Ethernet 10m,redes,18.0,1,129,Este
37,2023-02-19,Bateria Externa,accesorios,40.0,1,130,Norte
38,2023-02-20,SSD 512GB,almacenamiento,50.0,1,131,Sur
39,,Microfono de Solapa,audio,25.0,1,132,Centro
40,2023-02-22,Audifonos con Microfono,audio,55.0,1,133,desconocida
41,2023-02-23,Smartwatch,vestibles,120.0,1,134,Este
42,2023-02-24,"Tablet 10""",electronica,250.0,1,135,Norte
43,2023-02-25,Lector de Tarjetas,accesorios,15.0,1,136,Sur
45,2023-02-27,Cargador Inalambrico,accesorios,30.0,1,138,Oeste
46,,Proyector HD,video,280.0,1,139,Este
47,2023-03-01,Laptop de Oficina,electronica,899.99,1,140,Norte
48,2023-03-02,Mousepad,accesorios,10.0,1,141,Sur
49,2023-03-03,Teclado Numerico,perifericos,18.0,1,142,Centro
50,2023-03-04,Monitor Portatil,monitores,210.0,1,143,Oeste
51,,Webcam Full HD,video,75.0,1,144,Este
52,2023-03-06,Repetidor WiFi,redes,45.0,1,145,Norte
53,2023-03-07,Base para Laptop,accesorios,28.0,1,146,Sur
54,2023-03-08,Disco Duro Interno 4TB,almacenamiento,110.0,1,147,desconocida
55,2023-03-09,Kit de Limpieza,accesorios,12.0,2,148,Oeste
56,2023-03-10,Gafas de Realidad Virtual,videojuegos,399.0,1,149,Este
57,2023-03-11,Volante para Carreras,videojuegos,250.0,1,150,Norte
58,,Control para PC,videojuegos,50.0,2,151,Sur
59,2023-03-13,Capturadora de Video,video,130.0,1,152,Centro
60,2023-03-14,Aro de Luz LED,video,35.0,1,153,Oeste
61,2023-03-15,Chromecast,video,40.0,1,154,Este
63,2023-03-17,Kindle,electronica,90.0,1,156,Sur
64,2023-03-18,Drone,juguetes,150.0,1,157,Centro
65,,Cargador de Pared USB,accesorios,15.0,3,158,Oeste
66,2023-03-20,Bocina Inteligente,audio,60.0,1,159,Este
67,2023-03-21,Mouse Ergonómico,accesorios,45.0,1,160,Norte
68,2023-03-22,Teclado para Tablet,accesorios,55.0,1,161,Sur
69,2023-03-23,Pantalla Inteligente,hogar,120.0,1,162,Centro
70,2023-03-24,Foco Inteligente,hogar,18.0,4,163,Oeste
71,2023-03-25,Enchufe Inteligente,hogar,15.0,2,164,Este
72,,Termostato Inteligente,hogar,80.0,1,165,Norte
73,2023-03-27,Bascula Inteligente,hogar,35.0,1,166,Sur
74,2023-03-28,Purificador de Aire,hogar,110.0,1,167,Centro
75,2023-03-29,Aspiradora Robot,hogar,300.0,1,168,Oeste
76,2023-03-30,Licuadora,hogar,50.0,1,169,desconocida
77,2023-03-31,Cafetera,hogar,60.0,1,170,Norte
78,2023-04-01,Horno de Microondas,hogar,100.0,1,171,Sur
79,,Refrigerador,hogar,800.0,1,172,Centro
80,2023-04-03,Lavadora,hogar,500.0,1,173,Oeste
82,2023-04-05,Ventilador,hogar,40.0,1,175,Norte
83,2023-04-06,Calefactor,hogar,45.0,1,176,Sur
84,2023-04-07,Plancha de Ropa,hogar,30.0,1,177,Centro
85,,Secadora de Cabello,cuidado personal,25.0,1,178,Oeste
86,2023-04-09,Maquina de Afeitar,cuidado personal,40.0,1,179,Este
87,2023-04-10,Cepillo Dental Electrico,cuidado personal,35.0,1,180,Norte
88,2023-04-11,Bascula de Bano,cuidado personal,20.0,1,181,Sur
89,2023-04-12,Mochila para Laptop,accesorios,50.0,1,182,Centro
90,2023-04-13,Funda para Tablet,accesorios,20.0,1,183,Oeste
91,2023-04-14,Candado para Laptop,seguridad,15.0,1,184,Este
92,2023-04-15,UPS (No-Break),energia,90.0,1,185,Norte
93,,Bateria para Laptop,componentes,60.0,1,186,Sur
94,2023-04-17,Cargador para Laptop,accesorios,35.0,1,187,Centro
95,2023-04-18,Docking Station,accesorios,120.0,1,188,Oeste
96,2023-04-19,Stylus Pen,accesorios,25.0,1,189,Este
97,2023-04-20,Tarjeta de Sonido Externa,audio,40.0,1,190,desconocida
98,2023-04-21,Lector de Blu-Ray Externo,video,80.0,1,191,Sur
99,2023-04-22,Sintonizador de TV USB,video,30.0,1,192,Centro
100,2023-04-23,Panel Solar Portatil,energia,150.0,1,193,Oeste
102,2023-02-09,Ventiladores RGB,componentes,40.0,4,122,Norte
103,2023-04-25,Lampara de Escritorio LED,hogar,28.0,1,195,Norte
104,2023-04-26,Organizador de Cables,accesorios,10.0,2,196,Sur
105,2023-04-27,Pizarron Blanco,oficina,40.0,1,197,Centro
106,2023-04-28,Destructor de Papel,oficina,60.0,1,198,Oeste
107,2023-04-29,Silla de Oficina,muebles,180.0,1,199,Este
108,2023-04-30,Archivero,muebles,120.0,1,200,Norte
109,2023-05-01,Monitor Ultrawide,monitores,600.0,1,201,Sur
110,2023-05-02,Teclado Ergonomico,perifericos,80.0,1,202,Centro
111,,Mouse Vertical,perifericos,35.0,1,203,Oeste
112,2023-05-04,Trackball,perifericos,50.0,1,204,Este
113,2023-05-05,Tableta Grafica,diseno,100.0,1,205,Norte
114,2023-05-06,Impresora 3D,diseno,350.0,1,206,Sur
115,2023-05-07,Escaner de Documentos,oficina,150.0,1,207,desconocida
116,2023-05-08,Pluma 3D,diseno,40.0,1,208,Oeste
117,2023-05-09,Microscopio USB,ciencia,60.0,1,209,Este
118,2023-05-10,Telescopio,ciencia,200.0,1,210,Norte
119,,Kit de Robotica,juguetes,120.0,1,211,Sur
